InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
328552,P8619,Race Billion,45,2023-09-29,26.37,10047,France
735324,P2876,Interesting Should,50,2024-05-02,82.11,10039,Germany
706794,P1420,Such Training,20,2023-11-05,58.0,10048,Belgium
849747,P4249,Energy Dark,5,2024-01-07,59.62,10080,Spain
206851,P5941,Not List,44,2023-11-29,60.44,10015,Denmark
920652,P1672,Knowledge Cover,23,2024-03-16,53.74,10084,Netherlands
172306,P9289,Maintain Enjoy,42,2025-06-22,34.78,10053,Sweden
210665,P8102,Wind Bag,24,2024-07-22,63.92,10058,France
556641,P3885,System Training,47,2025-06-07,52.65,10083,Italy
745830,P9817,Oil Billion,50,2023-09-21,48.87,10055,Denmark
381433,P6280,Reach Now,16,2025-05-23,83.24,10011,Italy
572700,P4995,Administration Better,49,2025-08-01,47.01,10078,Belgium
452737,P1470,Some Time,32,2024-02-12,85.24,10023,Sweden
322423,P6813,Compare Investment,17,2024-08-24,34.69,10076,Italy
682789,P1166,Medical Different,34,2025-06-14,94.86,10010,Spain
855053,P7658,Institution Weight,32,2023-09-27,55.96,10030,Sweden
777278,P9041,Community Hundred,29,2023-08-14,79.5,10011,Italy
332360,P7625,In Evidence,45,2025-08-01,25.09,10084,Denmark
486945,P8753,Step Still,36,2024-07-31,53.56,10054,Norway
446859,P6764,Feeling Land,45,2025-02-04,45.92,10039,Italy
341736,P2976,Side Step,47,2024-10-17,20.07,10015,Norway
899213,P4033,Recently Serious,13,2024-08-25,22.42,10061,Italy
859782,P9595,Clear Customer,39,2024-03-30,29.02,10012,Spain
410636,P4727,Director Article,24,2024-11-04,18.76,10001,Norway
232731,P5494,Simply Occur,3,2023-09-29,97.46,10070,Italy
831295,P3068,Small Former,41,2023-09-26,86.98,10062,Germany
112861,P5658,Apply Pattern,31,2024-08-17,48.39,10043,France
153872,P5136,Morning Wide,31,2025-06-05,12.29,10008,Belgium
615633,P2213,Nice Coach,37,2023-09-26,63.32,10006,France
256445,P5978,Movie Be,6,2025-06-04,99.4,10015,Norway
901577,P7818,Cultural Authority,39,2024-11-17,60.02,10079,Spain
913373,P9561,Author Republican,25,2025-06-12,45.6,10056,Italy
717113,P8025,Easy International,20,2023-11-14,57.29,10007,Denmark
876039,P2625,Year Voice,49,2024-10-28,21.57,10027,Italy
792509,P2330,Employee Particular,11,2024-11-16,24.75,10070,Germany
264136,P1043,Among President,27,2023-10-15,45.6,10076,Sweden
405407,P1534,Kind Really,15,2024-11-08,29.52,10036,Sweden
174637,P4824,Other Necessary,17,2024-04-14,78.99,10080,Denmark
793300,P4241,Worry Every,28,2024-01-18,12.36,10028,France
378535,P3330,Relationship Sense,5,2024-04-13,6.9,10039,Denmark
885339,P5728,Edge Evidence,29,2024-06-15,13.31,10088,Italy
833723,P7594,Catch Remain,18,2024-12-26,50.55,10063,Sweden
184349,P1653,First Lot,28,2024-04-14,73.72,10077,Italy
127121,P2496,Woman Society,15,2025-08-08,96.23,10073,Denmark
121753,P5415,Baby Act,37,2024-08-02,4.98,10096,France
593355,P9502,Pretty Order,42,2023-10-29,44.78,10035,France
713762,P8141,Back Note,41,2024-01-25,81.61,10011,Sweden
464863,P7690,Move Evidence,22,2023-11-23,32.78,10013,France
445824,P7744,Worker Happy,45,2025-06-27,50.05,10084,Belgium
953085,P1601,Authority Until,30,2024-02-18,9.72,10032,Netherlands
221552,P7622,Hope Feel,33,2023-12-13,82.67,10000,Norway
584417,P7770,Left These,4,2024-10-07,19.57,10046,Denmark
893188,P9167,Score Five,41,2024-11-30,44.76,10006,Spain
380028,P9998,Surface Ready,9,2024-09-26,92.84,10056,Sweden
227324,P1472,Across Region,41,2025-05-08,61.28,10030,France
425845,P1224,Once Firm,36,2025-08-05,41.39,10028,Germany
583863,P2924,Record Body,42,2025-08-11,83.38,10063,Italy
633590,P5479,Unit Center,27,2024-03-05,83.64,10060,Spain
578975,P3369,Business Voice,25,2023-11-04,19.87,10076,Norway
882544,P3236,Situation On,5,2023-12-11,28.35,10053,Netherlands
925981,P9318,Expert Father,18,2024-11-24,82.23,10036,Italy
978157,P9022,Develop Series,10,2024-05-05,45.21,10061,Netherlands
448588,P9903,Democrat Right,25,2024-12-17,46.08,10041,Spain
831380,P4912,Tonight Everything,37,2024-09-08,38.91,10099,Belgium
145767,P6213,Middle Enter,48,2025-07-16,47.82,10048,Belgium
795928,P3492,Whatever Throughout,32,2023-09-21,96.52,10016,Norway
718849,P6439,Best Protect,7,2024-07-07,87.54,10056,Germany
651499,P8486,Themselves Factor,1,2023-09-16,72.52,10052,France
178463,P8692,About Goal,17,2025-04-02,34.52,10088,Belgium
781403,P2315,Case Public,22,2024-03-03,85.38,10068,Belgium
432043,P8994,Color Site,35,2024-07-21,4.55,10008,Spain
761820,P5708,Ok Season,15,2024-07-10,74.93,10055,Germany
897305,P2646,Option Act,29,2023-11-07,17.47,10038,UK
148225,P6314,Bag You,4,2025-06-28,30.04,10047,Belgium
252640,P5000,Rock Well,34,2023-12-06,41.79,10087,France
278240,P3868,Offer Also,6,2025-05-22,61.34,10048,Denmark
816318,P4945,Hope Pass,32,2024-10-15,91.37,10018,Spain
583550,P5161,Choose Law,30,2023-11-19,26.28,10001,Sweden
401603,P9955,Analysis Foot,11,2024-05-22,8.31,10044,Denmark
413685,P7951,Way Worker,45,2025-04-22,25.76,10038,Spain
503380,P8916,Traditional Among,7,2025-07-11,24.48,10073,Netherlands
702733,P5847,Help Develop,45,2025-01-23,30.23,10084,Belgium
387813,P1132,Enjoy Reflect,37,2023-10-31,86.64,10099,UK
735863,P9138,Health State,19,2024-10-20,77.8,10029,Denmark
940886,P6772,Usually Two,15,2024-06-23,64.03,10079,Italy
810687,P3240,Pressure So,41,2023-12-11,10.62,10080,UK
423939,P8222,Wish Wonder,3,2024-02-12,58.38,10093,France
194511,P5835,Treatment Commercial,21,2025-04-25,75.0,10022,Spain
238579,P9837,Talk Cost,24,2025-06-27,53.55,10034,France
369452,P8894,Itself Ago,19,2023-12-30,74.91,10043,Germany
591081,P2233,Since Window,10,2024-04-27,75.66,10028,Belgium
986827,P6992,Stay Word,6,2024-06-27,79.28,10001,Italy
662636,P3024,Suffer Relationship,30,2025-06-14,37.49,10095,Italy
712955,P7242,Simple Talk,41,2024-02-21,94.09,10013,Spain
594379,P1410,Example Collection,40,2025-04-15,88.54,10071,Netherlands
739717,P4626,Science Box,42,2024-06-05,7.26,10059,Italy
780776,P7689,Turn American,8,2025-06-09,14.84,10004,Italy
616554,P2902,Many Doctor,7,2024-01-15,24.25,10068,France
507524,P8432,Technology Why,24,2024-08-04,67.38,10095,Norway
539486,P3531,Hard Focus,27,2025-05-11,65.84,10062,Denmark
527940,P5583,Stuff Try,3,2024-02-05,69.34,10027,Sweden
566297,P4868,Dog Agent,24,2025-01-06,10.84,10087,Netherlands
670913,P6876,Data Inside,4,2024-04-23,40.42,10024,Germany
989227,P8450,Family Treatment,6,2023-10-05,66.61,10082,Denmark
122394,P1828,Spring Family,22,2024-05-11,25.11,10016,Denmark
315173,P2124,Put Mr,49,2024-06-18,55.87,10075,Spain
952547,P4817,Respond Threat,22,2024-10-02,77.66,10100,Denmark
102973,P5542,Glass Wrong,10,2023-09-03,98.77,10069,Italy
937302,P3858,Business Understand,8,2024-03-02,66.44,10003,France
115582,P6869,Could Partner,16,2024-03-06,59.3,10002,France
378258,P1858,American Boy,9,2024-11-18,74.43,10067,Germany
881886,P2041,Leader Hair,31,2025-02-28,45.38,10046,Norway
722503,P2786,Stop Former,29,2024-07-16,50.88,10078,UK
862569,P9543,Police Much,20,2023-11-10,46.35,10003,UK
602248,P7580,Image We,28,2024-11-02,68.92,10062,Sweden
177060,P2323,Customer Environmental,21,2023-09-16,61.22,10008,France
388375,P9984,Section Least,46,2023-08-14,33.19,10076,Norway
409222,P8433,Nature Wish,33,2025-04-30,60.94,10012,Germany
994217,P4522,Nothing Right,28,2025-02-21,45.7,10029,Belgium
455395,P8430,Yard Site,26,2025-03-07,42.18,10012,Netherlands
547494,P6120,Religious Debate,43,2024-05-21,26.23,10019,Sweden
170394,P2494,Lawyer Available,6,2025-01-09,10.23,10012,Netherlands
951201,P3131,Wife Give,36,2024-12-09,6.94,10071,Norway
445658,P3002,Former Record,27,2025-06-01,36.01,10085,Belgium
856086,P1842,Capital Service,19,2025-07-12,60.44,10045,Germany
705991,P9313,First Movement,14,2024-04-09,16.32,10061,Spain
988432,P2773,Reflect Issue,23,2024-04-22,84.69,10047,Germany
899649,P5564,Interesting Same,37,2024-03-29,23.39,10054,Norway
904711,P1430,Once Care,39,2024-01-09,92.98,10088,Italy
130359,P3955,Kitchen Red,18,2025-08-12,70.57,10039,Netherlands
468074,P1100,Hundred Research,12,2025-03-16,87.12,10072,Belgium
172965,P3324,Weight Contain,48,2024-12-03,63.68,10003,Germany
882354,P9691,Outside Fish,14,2024-06-23,38.24,10058,Netherlands
265055,P7062,Official These,20,2023-08-13,72.44,10099,Denmark
725185,P2391,Fly Few,4,2024-01-23,16.4,10096,Denmark
152179,P2336,Law Stock,18,2024-11-05,44.87,10054,Sweden
736565,P8242,Policy Real,27,2024-04-19,28.04,10096,Norway
219346,P6655,Make Letter,28,2024-07-21,11.98,10086,Denmark
610271,P9633,Republican Different,43,2024-09-13,31.53,10028,Belgium
728437,P1897,Material Student,1,2025-07-12,21.24,10027,France
901280,P5186,Style Simply,19,2023-12-22,33.48,10000,Sweden
883301,P8055,Reason Become,12,2024-03-20,13.79,10068,Spain
624563,P6802,Myself Record,5,2024-12-16,40.31,10094,UK
557409,P1307,President Government,30,2023-10-24,92.2,10040,Denmark
550137,P7626,Tell Society,46,2024-02-11,64.37,10037,Germany
524707,P1341,Remember Force,21,2024-02-03,18.02,10079,Sweden
972442,P6928,Sure Decide,6,2023-12-05,44.23,10013,Spain
556839,P7560,Ago Any,34,2024-02-19,8.79,10039,Netherlands
332335,P6456,May Popular,50,2025-06-03,17.65,10065,Germany
656379,P9355,Special Baby,13,2024-07-31,90.69,10044,Netherlands
862712,P3419,Join Various,16,2024-12-14,11.18,10032,Spain
281926,P3504,Parent Day,49,2025-02-20,76.16,10009,France
910389,P9095,Same If,30,2024-08-30,75.69,10097,Denmark
570711,P6295,Instead Either,41,2023-12-05,32.3,10056,Germany
591699,P8245,Reality Rise,41,2023-08-17,30.98,10035,Denmark
158900,P6766,Walk Social,33,2025-06-11,8.34,10059,Sweden
139434,P1932,Speech Value,24,2023-11-03,83.34,10009,Germany
744883,P9307,Start Large,25,2024-01-29,46.81,10070,UK
571579,P4084,Control Summer,21,2025-02-03,60.9,10064,France
164879,P8381,National Majority,7,2023-09-21,81.29,10043,Germany
629057,P3827,Onto Enjoy,3,2025-07-25,25.53,10056,Sweden
649525,P9564,Thus Campaign,40,2024-08-01,16.72,10047,Italy
506235,P7697,Cell Suddenly,50,2024-08-07,34.5,10076,UK
927564,P6482,Region Nice,5,2024-10-20,33.64,10071,Belgium
397949,P5128,Physical Free,47,2025-03-21,85.31,10077,France
449555,P2335,Vote Level,38,2024-11-30,66.7,10044,Italy
787923,P7421,Teacher Serve,9,2025-07-05,59.91,10010,Italy
686072,P7171,Mother Last,42,2025-05-19,79.37,10016,Norway
197992,P7937,What Official,33,2024-07-24,36.82,10046,Italy
289019,P4509,Watch Cold,22,2025-03-12,94.82,10062,Spain
337547,P3253,Training May,10,2024-07-27,8.64,10100,Germany
632351,P9843,Event Society,48,2024-02-21,88.48,10004,Netherlands
903531,P3147,Though Public,39,2024-03-15,38.3,10020,France
971728,P3712,Space Star,47,2024-09-20,44.33,10052,Netherlands
809217,P4891,Memory Produce,29,2024-02-14,61.45,10096,Sweden
345369,P9749,Face Less,16,2023-10-12,31.64,10100,Sweden
975679,P4178,Sell Feeling,24,2024-02-11,68.15,10073,Sweden
584106,P5616,Expert Government,50,2024-04-17,38.81,10067,Belgium
269930,P4271,Walk Now,39,2023-10-14,14.7,10032,UK
772324,P8873,Certainly City,24,2024-02-08,55.9,10013,Norway
992512,P3042,Identify Rule,19,2023-12-09,9.3,10020,Italy
571145,P9410,Seat Difficult,10,2023-10-01,83.27,10011,Spain
956375,P8391,Join Involve,23,2024-04-26,93.12,10053,UK
515712,P9224,Occur Man,24,2024-06-30,24.34,10010,Netherlands
335445,P1461,Assume Design,21,2025-05-20,93.15,10091,Netherlands
929822,P3392,Kitchen Improve,9,2025-07-15,4.79,10060,France
895702,P8685,Speech Pattern,29,2025-02-03,61.92,10010,UK
368355,P4533,Again Tough,10,2025-06-27,55.33,10093,Denmark
653408,P7934,Southern Parent,8,2024-06-03,77.84,10030,Italy
227767,P1782,Me According,16,2024-05-12,42.56,10079,Sweden
165858,P2816,Fire Some,32,2024-06-10,60.08,10002,Norway
702980,P4963,Tonight Wait,46,2025-05-23,15.21,10054,UK
744674,P6780,Kind Nothing,16,2025-03-15,57.5,10023,Germany
648913,P6908,Simple Office,5,2025-04-25,95.39,10069,Norway
924613,P9316,Player Water,36,2024-01-31,3.01,10060,UK
766549,P7338,Method Discuss,24,2024-03-11,26.11,10002,Netherlands
926823,P2106,Least Mention,23,2023-09-04,24.87,10084,Germany
908977,P6447,Improve Great,9,2025-01-13,5.39,10069,Netherlands
953025,P3868,Respond Success,50,2024-06-22,68.78,10089,Sweden
762423,P3986,Shake Company,9,2025-05-26,7.25,10099,Sweden
138780,P5807,Manage Wide,13,2023-11-20,5.34,10025,UK
430926,P6080,Prevent None,33,2023-09-02,40.42,10069,Sweden
365618,P1599,What Indeed,49,2024-11-14,65.04,10036,Netherlands
918771,P1783,Organization Recognize,42,2023-09-03,33.86,10015,Netherlands
558176,P7553,Because Question,48,2024-07-10,44.53,10049,Netherlands
295892,P9129,Central Trial,45,2024-08-05,50.25,10066,Italy
940064,P2353,Court Apply,47,2024-03-02,43.03,10055,Denmark
962287,P3956,Hundred Generation,35,2024-01-24,30.08,10013,Germany
443848,P5843,Look General,20,2024-05-01,45.15,10091,Belgium
274739,P8272,Sort Until,23,2024-06-02,45.27,10093,Netherlands
744718,P8126,Fall Soldier,18,2025-05-20,64.31,10007,Germany
803787,P7655,Know Entire,24,2025-05-22,51.8,10095,France
132653,P3339,Beat Many,39,2023-08-28,68.13,10056,UK
232361,P2101,So Notice,16,2023-09-22,78.07,10046,Netherlands
501451,P1530,Hard Door,39,2024-12-29,16.19,10057,Netherlands
490084,P8273,Authority Statement,49,2024-12-31,8.61,10017,Norway
484774,P7521,Amount Somebody,21,2023-09-06,65.31,10031,Germany
127172,P4048,End Decision,32,2025-05-25,52.26,10071,Germany
374492,P5264,Again Pretty,46,2023-12-09,45.18,10078,Italy
827691,P9047,Edge Card,13,2024-08-14,13.14,10009,Sweden
281043,P8292,Relationship Building,6,2024-10-24,81.24,10040,Netherlands
844007,P2063,Yourself Discover,36,2024-08-08,54.67,10038,France
846385,P3852,Scene Establish,24,2025-03-30,51.37,10015,Spain
930541,P3275,Home Computer,16,2024-11-25,79.25,10003,Netherlands
680933,P7044,Policy Small,30,2025-02-20,80.56,10070,France
741674,P2412,Building Star,5,2025-05-10,31.62,10091,Sweden
651231,P7730,Common Foreign,50,2023-11-04,41.53,10073,Germany
231414,P6194,Particular Agree,42,2025-08-03,8.34,10059,Norway
461249,P3102,Forget Parent,50,2025-01-20,55.58,10075,France
905077,P3114,Whatever How,28,2024-06-16,50.78,10007,Germany
643269,P3507,Year Senior,20,2024-01-14,17.3,10041,Spain
462831,P9501,Bag Person,19,2025-01-30,84.75,10032,Spain
765905,P5496,Then Product,9,2024-02-17,62.88,10078,Norway
197966,P9234,Blue Same,42,2025-04-04,17.69,10074,France
279516,P6531,Fish To,37,2025-01-25,5.08,10003,Germany
147670,P5336,Plan Support,42,2023-11-15,21.87,10073,Belgium
748133,P1496,Style Others,32,2025-04-11,89.01,10069,Italy
773088,P5949,Analysis Hand,31,2024-09-29,25.24,10087,Belgium
411882,P8430,Later Recently,5,2024-05-26,69.17,10020,Sweden
535810,P8933,Authority Move,30,2024-12-27,21.2,10077,France
427766,P6231,Growth Actually,47,2025-06-02,98.81,10044,Belgium
237118,P7070,Kitchen Test,33,2024-08-27,56.6,10040,Spain
589131,P3007,Born Lead,18,2024-05-20,45.51,10018,Germany
153063,P5754,Prove Vote,25,2025-05-17,86.55,10053,Spain
267457,P6364,Machine Second,37,2023-12-09,72.39,10024,France
622469,P9433,Learn Control,30,2025-03-04,50.38,10039,Sweden
124302,P2475,Nearly Rather,26,2024-03-09,51.04,10030,Spain
711680,P6781,Power System,4,2025-07-27,6.0,10063,Denmark
983791,P8710,Nothing Stage,19,2024-08-22,54.13,10013,Belgium
240440,P5333,Make Least,47,2025-05-15,37.21,10051,Netherlands
147440,P7563,Side Person,4,2024-03-08,57.46,10024,Netherlands
680096,P5728,Future Together,5,2024-02-19,39.25,10057,Norway
393308,P2946,Then Worry,9,2023-10-19,97.53,10050,Netherlands
933510,P6555,Family Upon,36,2024-07-28,93.96,10096,France
308727,P9341,Either Social,26,2024-08-07,50.51,10005,UK
243693,P6456,Over Poor,31,2025-01-12,52.41,10019,Denmark
640546,P3290,Hundred Great,21,2023-09-04,93.21,10040,France
512042,P5902,Miss Today,38,2024-04-21,34.3,10065,Norway
613641,P5911,Court Method,31,2024-01-24,81.76,10047,Netherlands
806537,P2795,Hear Subject,27,2024-02-29,58.79,10092,UK
725905,P8775,Grow Far,17,2025-06-26,96.74,10100,Denmark
705693,P4728,Pick Science,47,2025-06-26,6.08,10061,France
649697,P7229,Fact Only,10,2023-08-20,82.34,10031,UK
700383,P2800,Nation Yourself,13,2024-01-08,2.87,10040,Belgium
258787,P7765,Bed Effort,45,2025-02-22,21.19,10064,Denmark
594514,P2020,Investment Middle,46,2024-10-17,14.67,10026,Norway
440839,P8837,Son Effect,34,2025-01-30,38.31,10022,Sweden
659024,P6608,Maybe Race,35,2025-02-15,36.07,10098,Italy
739711,P8932,Military Line,13,2025-04-19,95.78,10035,Norway
412999,P4684,Adult Better,20,2024-03-28,77.35,10090,Spain
823769,P9011,Do Interview,21,2025-01-31,48.5,10071,Italy
401769,P2996,Either Follow,37,2025-01-09,67.99,10048,Belgium
958130,P6654,Party Home,50,2024-08-14,80.66,10037,UK
401602,P2294,On Nice,23,2024-05-06,92.48,10083,Italy
883641,P8849,Large Skill,14,2024-10-13,21.0,10068,Italy
689318,P5450,Give He,9,2025-02-08,11.81,10094,Denmark
350905,P4972,Long Experience,4,2024-04-07,67.31,10067,Spain
768933,P4814,Enter During,4,2023-11-14,10.92,10042,Sweden
205428,P3252,Set Data,1,2024-04-14,96.49,10020,Belgium
784607,P8793,Call Situation,31,2024-10-02,65.4,10096,Italy
436768,P5676,Sound Road,42,2024-01-03,6.86,10098,Germany
783984,P4804,Dark Direction,35,2025-03-08,74.13,10004,France
538184,P3880,Member Factor,3,2025-02-25,99.72,10050,Sweden
295361,P5742,Perform Soon,3,2024-09-23,1.92,10072,Denmark
212512,P6489,Picture Fear,19,2023-10-30,45.98,10082,Norway
649787,P9092,There Daughter,9,2024-03-30,85.25,10059,Italy
302177,P2845,Dream Herself,22,2023-12-30,17.09,10058,Italy
853504,P4050,Five Address,1,2025-02-12,73.93,10037,Denmark
807160,P4164,None Card,12,2024-03-13,61.48,10081,Belgium
967161,P8007,Answer Arm,33,2024-10-15,33.46,10051,Germany
293757,P3303,Final Save,31,2023-11-19,33.04,10031,UK
373453,P7284,Pull Trouble,16,2025-03-19,45.23,10034,Netherlands
416613,P1187,Military Board,17,2025-06-20,65.71,10088,Spain
165142,P2936,Actually Painting,30,2024-03-20,31.37,10051,Norway
837733,P6095,Manager Measure,45,2024-07-20,12.62,10037,Netherlands
744481,P4618,Grow Create,15,2023-09-21,95.78,10061,France
577079,P7121,Entire Yeah,27,2025-06-12,70.49,10060,Norway
940952,P4578,Mean Build,49,2025-05-12,25.5,10096,Denmark
925618,P2341,Attention Institution,34,2024-08-28,45.23,10090,Netherlands
